OBJECTID,NPU,POP2010,A
1,NPU C,2672,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate"
2,NPU B,3736,"Peachtree Heights East, Peachtree Hills"
3,NPU B,4874,Peachtree Heights West
4,NPU B,3372,"Buckhead Forest, South Tuxedo Park"
5,NPU A,3423,"Chastain Park., Tuxedo Park."
6,NPU B,2092,East Chastain Park
7,NPU B,3584,Garden Hills
8,NPU B,4604,Lindbergh/Morosgo
9,NPU B,2920,"Buckhead Village, Peachtree Park"
10,NPU L,2818,Vine City
11,NPU E,7232,"Georgia Tech, Marietta Street Artery"
12,NPU M,14560,"Castleberry Hill, Downtown"
13,NPU E,16218,Midtown
14,NPU E,4706,Home Park
15,NPU I,2881,"Beecher Hills, Florida Heights, Westwood Terrace"
16,NPU S,4084,"Fort McPherson, Venetian Hills"
17,NPU X,4632,Sylvan Hills
18,NPU X,2648,"Capitol View, Capitol View Manor"
19,NPU S,3672,"Bush Mountain, Oakland City"
20,NPU T,3138,Westview
21,NPU T,4341,West End
22,NPU T,2072,Ashview Heights
23,NPU T,6729,AUC
24,NPU J,2730,"Center Hill, Harvel Homes Community"
25,NPU J,3625,"Dixie Hills, Penelope Neighbors, West Lake"
26,NPU C,3516,"Brandon, Castlewood, Westminster/Milmar, Woodfield"
27,NPU A,4207,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek"
28,NPU X,2702,Hammond Park
29,NPU Z,5972,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights"
30,NPU Z,2255,South River Gardens
31,NPU X,2416,Perkerson
32,NPU Y,2151,"Amal Heights, Betmar LaVilla, High Point, Joyland"
33,NPU L,3330,English Avenue
34,NPU D,3089,"Berkeley Park, Blandtown, Hills Park"
35,NPU D,2287,Underwood Hills
36,NPU C,3757,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)"
37,NPU A,4061,"Margaret Mitchell, Paces., Pleasant Hill"
38,NPU C,2662,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation"
39,NPU C,2910,Cross Creek
40,NPU Z,3837,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood"
41,NPU Y,2808,"South Atlanta, The Villages at Carver"
42,NPU Y,2157,Lakewood Heights
43,NPU V,4880,"Adair Park, Pittsburgh"
44,NPU V,3786,Mechanicsville
45,NPU V,2658,Peoplestown
46,NPU V,2874,"Capitol Gateway, Summerhill"
47,NPU Z,3135,"Lakewood., Leila Valley, Norwood Manor, Rebel Valley Forest"
48,NPU J,5534,Grove Park
49,NPU G,3067,"Almond Park, Carey Park"
50,NPU D,5314,"Bolton., Riverside, Whittier Mill Village"
51,NPU G,3628,"Carver Hills, Rockdale, Scotts Crossing, West Highlands"
52,NPU K,3836,"Hunter Hills, Mozley Park"
53,NPU K,2924,"Bankhead., Washington Park"
54,NPU K,2639,Knight Park/Howell Station
55,NPU Q,1898,"Midwest Cascade, Regency Trace"
56,NPU P,3826,"Arlington Estates, Ben Hill., Butner/Tell, Elmco Estates, Fairburn, Fairburn Tell, Fairway Acres, Huntington, Lake Estates, Wildwood Forest"
57,NPU P,3670,Princeton Lakes
58,NPU P,2428,"Ben Hill Forest, Ben Hill Pines, Brentwood, Deerwood, Mellwood, Rue Royal, Tampa Park"
59,NPU R,3628,Greenbriar.
60,NPU X,0,Airport
61,NPU P,2536,"Ashley Courts, Greenbriar Village, Niskey Cove, Niskey Lake, Sandlewood Estates"
62,NPU P,2719,"Ben Hill Terrace, Kings Forest, Old Fairburn Village"
63,NPU H,3298,"Bankhead Courts, Bankhead/Bolton, Carroll Heights, Fairburn Heights, Old Gordon"
64,NPU I,5681,Collier Heights
65,NPU G,2083,"Atlanta Industrial Park, Bolton Hills, Brookview Heights, Chattahoochee, English Park, Lincoln Homes, Monroe Heights"
66,NPU R,6721,"Campbellton Road, Fort Valley, Pomona Park"
67,NPU I,4945,"Audobon Forest, Audobon Forest West, Chalet Woods, Harland Terrace, Peyton Forest, Westhaven"
68,NPU S,2307,Cascade Avenue/Road
69,NPU H,4360,"Baker Hills, Bakers Ferry, Boulder Park, Fairburn Road/Wisteria Lane, Ridgecrest Forest, Wildwood (NPU-H), Wilson Mill Meadows, Wisteria Gardens"
70,NPU P,2056,"Ben Hill Acres, Briar Glen, Cascade Green, Heritage Valley, Meadowbrook Forest, Mt. Gilead Woods"
71,NPU R,6141,"Adams Park, Laurens Valley, Southwest"
72,NPU H,4095,"Fairburn Mays, Mays"
73,NPU I,2705,"Cascade Heights, East Ardley Road, Green Acres Valley, Green Forest Acres, Horseshoe Community, Magnum Manor, West Manor"
74,NPU I,4996,Ivan Hill
75,NPU H,2296,"Adamsville, Oakcliff"
76,NPU F,8475,"Atkins Park, Virginia Highland"
77,NPU F,2834,Piedmont Heights
78,NPU F,8307,Morningside/Lenox Park
79,NPU W,5101,East Atlanta
80,NPU E,4167,"Atlantic Station, Loring Heights"
81,NPU E,2771,"Ardmore, Brookwood."
82,NPU C,2605,"Collier Hills, Collier Hills North, Colonial Homes"
83,NPU E,3350,"Ansley Park, Sherwood Forest"
84,NPU E,3677,Brookwood Hills
85,NPU M,12326,"Old Fourth Ward, Sweet Auburn"
86,NPU N,6196,"Inman Park, Poncey-Highland"
87,NPU F,3914,Lindridge/Martin Manor
88,NPU B,8300,Pine Hills
89,NPU B,8332,North Buckhead
90,NPU B,3143,"Buckhead Heights, Lenox., Ridgedale Park"
91,NPU B,2335,Brookhaven
92,NPU O,4046,"East Lake, The Villages at East Lake"
93,NPU O,4072,Edgewood
94,NPU N,4742,"Candler Park, Druid Hills"
95,NPU O,5688,Kirkwood
96,NPU N,2697,Lake Claire
97,NPU Y,3995,"Chosewood Park, Englewood Manor"
98,NPU Z,2851,Thomasville Heights
99,NPU W,3305,"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills"
100,NPU W,6827,"Grant Park, Oakland."
101,NPU W,4053,Ormewood Park
102,NPU N,3750,"Cabbagetown, Reynoldstown"
